QUESTIONS,ANSWERS
"This thing runs but cannot walk, sometimes sings but never talks.",clock
"I fly, yet I have no wings. I cry, yet I have no eyes.",cloud
"Black we are and much admired. Many seek us if they are tired.",coal
"What's black in the morning, red in the afternoon?",coal
A little pool with two layers of wall around it.,coconut
The man who made it didn't need it.,coffin
"The one who makes it, sells it.",coffin
"I am two-faced but bear only one. I have no legs but travel widely.",coin
What can you catch but not throw?,cold
"Metal or bone I may be, many teeth I have.",comb
I am so simple that I can only point.,compass
You throw away the outside and cook the inside.,corn
"Whoever makes it, tells it not.",counterfeit
"The more of it there is, the less you see.",darkness
"Five hundred begins it, five hundred ends it.",david
"Some try to hide, some try to cheat.",death
What begins and has no end? What is the ending of all that begins?,death
"What is put on a table, cut, but never eaten?",deck
I dig out tiny caves and store gold and silver in them.,dentist
"You will find me with four legs, but no hair.",desk
"A tiny bead, like fragile glass, strung along a cord of grass.",dew
What has six faces and twenty-one eyes?,die
What wears a coat in the winter and pants in the summer?,dog
Hands she has but does not hold. Teeth she has but does not bite.,doll
I don't think or eat or slumber.,doll
What kind of nut is empty at the center and has no shell.,doughnut
My first is in window but not in pane.,dove
"A word I know, six letters it contains.",dozens
"This is in a realm of true and in a realm false.",dream
"Although my cow is dead, I still beat her What a racket she makes.",drum
People are hired to get rid of me.,dust
"I am the third from a sparkle bright, I thrive throughout.",earth
"You heard me before, yet you hear me again, then I die.",echo
"A box without hinges, lock or key, yet golden treasure lies.",egg
"In marble halls as white as milk, lined with a skin as soft.",egg
What has to be broken before it can be used?,egg
"I drift forever with the current down these long canals.",electricity
"Face with a tree, skin like the sea. A great beast I am.",elephant
"What word starts with 'E', ends with 'E', but only has one letter?",envelope
"A hole in a pole, though I fill a hole in white.",eye
"What is pronounced like one letter, written with three letters.",eye
"Two horses, swiftest traveling, harnessed in a pair.",eyes
When set loose I fly away. Never so cursed as when I go astray.,fart
It's in your hand though you can not feel it.,fate
"I make you weak at the worst of all times.",fear
"I am the outstretched fingers that seize and hold the wind.",feather
"I know a word of letters three. Add two, and fewer there will be!",few
"Long and think, red within, with a nail at the end.",finger
"As destructive as life, As healing as death;",fire
"Feed me and I live, give me drink and I die. ",fire
"Give it food and it will live, give it water and it will die.",fire
"I am always hungry, I must always be fed.",fire
"Screaming, soaring seeking sky. Flowers of fire flying high.",firework
"Alive without breath, As cold as death, Clad in mail never clinking.",fish
"I march before armies, a thousand salute me.",flag
Up on high I wave away but not a word can I say.,flag
"When they are caught, they are thrown away.",fleas
"A thousand colored folds stretch toward the sky.",flower
"Who spends the day at the window, goes to the table for meals.",fly
"My second is performed by my first, and it is thought a thief.",footstep
"I bubble and laugh and spit water in your face.",fountain
I have four legs but no tail. Usually I am heard only at night.,frog
"Goes over all the hills and hollows. Bites hard, but never swallows.",frost
My first is in fish but no in snail.,fruit
"My first master has four legs, my second master has two.",fur
"Born of earth, but with none of its strength.",glass
"Without a bridle, or a saddle, across a thing I ride a-straddle.",glasses
"They have not flesh, nor feathers, nor scales, nor bone.",gloves
What do you fill with empty hands?,gloves
"What I am filled, I can point the way.",gloves
"I drive men mad for love of me. Easily beaten, never free.",gold
"The sun bakes them, the hand breaks them, the foot treads on them.",grapes
"The sharp slim blade, that cuts the wind.",grass
"So cold, damp and dark this place.",grave
"There is one word that stands the test of time.",gravity
"They can be harbored, but few hold water.",grudge
"Long and slinky like a trout, never sings till its guts come out.",gun
"I have one, you have one.",habit
"Grows from the ground, bushes and grass, leaves of yellow.",hair
What is that over the head and under the hat?,hair
Two in a whole and four in a pair.,half
How far will a blind dog walk into a forest?,halfway
"They are many and one, they wave and they drum.",hands
"What do you use to hoe a row, slay a foe?",hands
"Inside a burning house, this thing is best to make.",haste
"You can tumble in it, roll in it, burn it, animal eat it.",hay
"A red drum which sounds without being touched.",heart
"I'm the source of all emotion, but I'm caged in a white prison.",heart
"If you break me, I do not stop working.",heart
"It cannot be seen, it weighs nothing, but when put into.",hole
What can you put in a barrel to make it lighter?,hole
What gets bigger the more you take away from it?,hole
"When you stop and look, you can always see me.",horizon
What always goes to bed with his shoes on?,horse
"Two bodies have I, though both joined in one.",hourglass
"A precious stone, as clear as diamond.",ice
Power enough to smash ships and crush roofs.,ice
"Lighter than what I am made of, More of me is hidden.",iceberg
Glittering points that downward thrust.,icicle
"What word has kst in the middle, in the beginning, and at the end?",inkstand
"Ripped from my mother's womb. Beaten and burned, I become.",iron
"What goes in the water red, and comes out black?",iron
"I can be cracked, I can be made.",joke
"I cut through evil like a double edged sword.",justice
I turn around once. What is out will not get in.,key
"What force and strength cannot get through.",key
What goes through a door but never goes in.,keyhole
"Of no use to one, Bliss to two.",kiss
"I love to dance and twist and prance.",kite
"Iron roof, glass walls, burns and burns and never falls.",lantern
"I am the red tongue of the earth, that buries cities.",lava
"They're up near the sky, on something very tall.",leaves
"Walk on the living, they don't even mumble.",leaves
"I do not breathe, but I run and jump.",leg
What building has the most stories?,library
I'm sometimes white and always wrong.,lie
What an fill a room but takes up no space?,light
What goes in the water black and comes out red?,lobster
"A dagger thrust at my own heart, dictates the way I'm swayed.",lock
"In your fire you hear me scream, creaking and whining.",log
What can touch someone once and last them a life time?,love
I have rivers without water.,map
"Tool of thief, toy of queen.",mask
"Take one out and scratch my head, I am now black but once was red.",match
"What can bring back the dead. Make us cry, make us laugh?",memory
I'm a god. I'm a planet. I measure heat.,mercury
"You can spin, wheel and twist.",milk
"Something wholly unreal, yet seems real to I.",mind
"I look at you, you look at me, I raise my right.",mirror
If you drop me I'm sure to crack.,mirror
Look into my face and I'm everybody.,mirror
"When there is fire in me then I am still cold.",mirror
"A hill full, a hole full, yet you cannot catch a bowl full.",mist
What goes further the slower it goes?,money
"Always old, sometimes new. Never sad, sometimes blue.",moon
"I am the hole in the night, the ever watchful eye.",moon
"I'm white, I'm round, but not always around.",moon
"It comes only before, it comes only after.",moon
"My love, when I gaze on thy beautiful face.",moon
"Pregnant every time you see her, yet she never will give birth.",moon
"Scythe of darkness, Shadow's light.",moon
"What has roots as nobody sees, is taller than trees.",mountain
What kind of room has no windows or doors?,mushroom
"At the sound of me, one may dream or stamp their feet.",music
Who works when he plays and plays when he works?,musician
I hide but my head is outside.,nail
"What is it that was given to you, belongs only to you.",name
"An iron horse with a flaxen tail.",needle
What has a single eye but cannot see?,needle
"What is long and slim, works in light.",needle
A house of wood in a hidden place.,nest
"Hold the tail, while I fish for you.",net
"I can be written, I can be spoken, I can be exposed.",news
"Sometimes I am loud. And viewed with distaste.",noise
"What word is the same written forward, backward?",noon
"Gets rid of bad ones, short and tall.",noose
"I can run but not walk. Wherever I go, thought follows.",nose
Two little holes in the side of a hill.,nose
"It is greater than God and more evil than the devil.",nothing
"What does man love more than life, fear more than death?",nothing
"A man went to the hardware store to buy items.",numbers
"A little house full of meat, no door to go in and eat.",nut
"I am the fountain from which no one can drink.",oil
"Take off my skin, I won't cry, but you will.",onion
You use a knife to slice my head.,onion
"Gold in a leather bag, swinging on a tree.",orange
What asks but never answers?,owl
"It holds most knowledge that has ever been said.",paper
"Half-way up the hill, I see you at last.",past
The eight of us move forth and back.,pawns
"A seed am I, three letters make my name.",pea
The strangest creature you'll ever find.,peacock
"A house with two occupants, sometimes one.",peanut
"Lovely and round, I shine with pale light.",pearl
"I am the tool, for inspiring many.",pen
I usually wear a yellow coat.,pencil
"What has a head, a tail, is brown, and has no legs?",penny
"A woman shoots her husband, then holds him under water.",photo
"I am a box that holds keys without locks.",piano
My first is twice in apple but not once in tart.,pig
What loses its head in the morning?,pillow
"What makes a loud noise when changing its jacket?",popcorn
"A skin have I, more eyes than one.",potato
"What can be swallowed, But can also swallow you?",pride
He has married many women but has never married.,priest
"I cannot be other than what I am, until the man.",prince
"Three little letters. A paradox to some.",pun
"Different lights do make me strange, thus into different sizes.",pupil
Only two backbones and thousands of ribs.,railroad
I have split the one into five.,rainbow
"Break it and it is better, immediately set and harder.",record
"You can see nothing else, When you look in my face.",reflection
"You saw me where I never was and where I could not be.",reflection
What can be heard and caught but never seen?,remark
"I am never quite what I appear to be.",riddle
"To unravel me you need a simple key.",riddle
"It has no top or bottom, but it can hold flesh, bones.",ring
"What always runs but never walks, often murmurs?",river
I run through hills. I veer around mountains.,road
Snake coiled round and round.,rope
"Ten men's strength, ten men's length.",rope
"What can burn the eyes, sting the mouth?",salt
I build up castles. I tear down mountains.,sand
"One by one we fall from heaven down into the depths.",sand
What measures out time. Until in time all is smashed to it?,sand
I bind it and it walks. I loose it and it stops.,sandal
"My teeth are sharp, my back is straight.",saw
"I open wide and tight I shut, Sharp am I.",scissors
"If you have it, you want to share it.",secret
"By Moon or by Sun, I shall be found.",shadow
"Each morning I appear to lie at your feet.",shadow
I crawl on the earth. And rise on a pillar.,shadow
"Only one color, but not one size.",shadow
"Tall in the morning, short at noon, gone at night.",shadow
"Of these things - I have two.",sharing
"Weight in my belly, Trees on my back.",ship
Whilst I was engaged in sitting.,ship
"What has a neck and no head, two arms but no hands?",shirt
Iron on a mammal. Mammal on your feet.,shoe
"Runs over fields and woods all day.",shoe
What runs around all day. Then lies under the bed.,shoe
"In buckles or lace, they help set the pace.",shoes
What five-letter word becomes shorter when you add two more letters?,short
"What is round as a dishpan, deep as a tub?",sieve
What is so fragile that saying its name breaks it?,silence
"My first is in some but not in all.",silk
A beggar's brother went out to sea and drowned.,sister
"Double my number, I'm less than a score.",six
"I am whole but incomplete. I have no eyes, yet I see.",skeleton
Twigs and spheres and poles and plates.,skeleton
"When liquid splashes me, none seeps through.",skin
"I weaken all men for hours each day.",sleep
"A mile from end to end, yet as close to as a friend.",smile
"A house full, a yard full, a chimney full.",smoke
"If a man carried my burden, he would break his back.",snail
Who is he that runs without a leg.,snail
"I can sizzle like bacon, I am made with an egg.",snake
"As beautiful as the setting sun, as delicate as morning dew.",snow
"High born, my touch is gentle.",snow
"White bird, featherless, flying out of paradise.",snow
"I saw a man in white, he looked quite a sight.",snowman
"They made me a mouth, but didn't give me breath.",snowman
"You use it between your head and your toes.",soap
"I cannot be felt, seen or touched.",soul
"What surrounds the world, yet dwells within a thimble?",space
"A horrid monster hides from the day, with many legs.",spider
"I move without wings, Between silken string.",spider
"I went to the woods and got it.",splinter
"I'm full of holes, yet I'm full of water.",sponge
"We travel much, yet prisoners are.",spurs
A nut cracker up in a tree.,squirrel
"As a whole, I am both safe and secure.",stable
"What has wings, but can not fly.",stage
"Upon me you can tread, though softly under cover.",stairs
What goes around the world and stays in a corner?,stamp
"With pointed fangs it sits in wait.",stapler
At night I come without being fetched.,stars
"We are all around, yet to us you are half blind.",stars
"The more you take, the more you leave behind.",steps
"Four of us are in your field.",suits
Inside a great blue castle lives a shy young maid.,sun
My children are near and far.,sun
What goes through the door without pinching itself?,sun
"I appear in the morning. But am always there.",sunlight
"Sleeping during the day, I hide away.",sunrise
"A dragons tooth in a mortals hand.",sword
With sharp edged wit and pointed poise.,sword
He has one and a person has two.,syllable
Late afternoons I often bathe.,teabag
"What starts with a 'T', ends with a 'T', and has T in it?",teapot
"Soldiers line up spaced with pride.",teeth
"Thirty white horses on a red hill.",teeth
"You must keep this thing.",temper
"What is often returned, but never borrowed/",thanks
"What can't you see, hear or feel, until its too late.",thief
"An open ended barrel, it is shaped like a hive.",thimble
"He stands beside the road.",thistle
"I walked and walked and at last I got it.",thorn
"Soft and fragile is my skin, I get my growth in mud.",thorn
"Used left or right, I get to travel over cobblestone.",thumb
"Fatherless and motherless. Born without sin.",thunder
When the day after tomorrow is yesterday.,thursday
"In we go, out we go. All around and in a row.",tides
"There are two meanings to me.",tie
Mountains will crumble and temples will fall.,time
"This thing all things devours:",time
"Until I am measured I am not known.",time
What flies without wings? What passes all things?,time
"What is it which builds things up?",time
"I never was, am always to be.",tomorrow
"Forward I'm heavy, but backwards I'm not.",ton
Often held but never touched.,tongue
Blend a teapot shot so the pearlies won't rot!,toothpaste
What gets wetter as it dries?,towel
"I saw a strange creature.",train
Dies half its life. Lives the rest.,tree
"I am mother and father, but never birth or nurse.",tree
"Reaching stiffly for the sky, I bare my fingers.",tree
"Some live in me, some live on.",tree
"Creatures of power, creatures of grade.",trees
"Who is it that rows quickly with four oars?",turtle
What goes up when the rain comes down?,umbrella
"My voice is tender, my waist is slender.",violin
"What instrument can make any sound and be heart?",voice
My thunder comes before the lightning.,volcano
We are five little objects of an everyday sort.,vowels
"I run around the city, but I never move.",wall
"As soft as silk, as white as milk, as bitter as gall.",walnut
"A harvest sown and reaped on the same day.",war
"It is a part of us, and then replaced.",water
"Runs smoother than any rhyme, loves to fall.",water
Three lives have I.,water
"Bright as diamonds, Loud as thunder.",waterfall
The moon is my father. The sea is my mother.,wave
"My first is in wield, sever bones and marrow.",weapon
As round as an apple. As deep as a cup.,well
"I go around in circles, but always straight ahead.",wheel
"A leathery snake, with a stinging bite.",whip
"All about, but cannot be seen.",wind
"I pass before the sun, but make no shadow.",wind
"Voiceless it cries,Voiceless it cries, Wingless flutters.",wind
"What flies forever, Rests never?",wind
"I have four wings but cannot fly.",windmill
There is an ancient invention.,window
"When young, I am sweet in the sun.",wine
"I am the heart that does not beat.",wood
What is it that you must give before you can keep it.,word
"What does no man want, yet no man want to lose?",work
What must be in the oven yet can not be baked?,yeast
